CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME	ACTIVITY_PARAMS	ACTIVITY_PROPS
CHEMBL158559	263026	CHEMBL158559	263026		41	325.28	1.78	121.57	0	Oc1cccc(NC2=C(C(=O)NC2=O)c3cccc(c3)[N+](=O)[O-])c1	2154951	IC50	=	236	nM	6.63	IC50	=	236	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	466615	CHEMBL930273	B	Inhibition of recombinant GSK3-beta	1	Scientific Literature				Autocuration	BAO_0000357	10197	CHEMBL262	SINGLE PROTEIN	P49841	Glycogen synthase kinase-3 beta	Homo sapiens	8	Homologous protein			38628	CHEMBL1142395	18324764	J. Med. Chem.	2008	51	7	2062					
CHEMBL160373	263178	CHEMBL160373	263178		34	310.31	1.88	87.66	0	COc1cccc(c1)C2=C(Nc3cccc(O)c3)C(=O)NC2=O	2154958	IC50	=	472	nM	6.33	IC50	=	472	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	466615	CHEMBL930273	B	Inhibition of recombinant GSK3-beta	1	Scientific Literature				Autocuration	BAO_0000357	10197	CHEMBL262	SINGLE PROTEIN	P49841	Glycogen synthase kinase-3 beta	Homo sapiens	8	Homologous protein			38628	CHEMBL1142395	18324764	J. Med. Chem.	2008	51	7	2062					
CHEMBL160586	262421	CHEMBL160586	262421		26	387.74	2.43	138.64	0	OC(=O)c1cc(NC2=C(C(=O)NC2=O)c3ccccc3[N+](=O)[O-])ccc1Cl	2154966	IC50	=	28	nM	7.55	IC50	=	28	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	466615	CHEMBL930273	B	Inhibition of recombinant GSK3-beta	1	Scientific Literature				Autocuration	BAO_0000357	10197	CHEMBL262	SINGLE PROTEIN	P49841	Glycogen synthase kinase-3 beta	Homo sapiens	8	Homologous protein			38628	CHEMBL1142395	18324764	J. Med. Chem.	2008	51	7	2062					
CHEMBL160598	262710	CHEMBL160598	262710		62	340.4	2.9	67.43	0	COc1ccc(cc1)C2=C(Nc3ccc(SC)cc3)C(=O)NC2=O	2154930	IC50	=	243	nM	6.61	IC50	=	243	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	466615	CHEMBL930273	B	Inhibition of recombinant GSK3-beta	1	Scientific Literature				Autocuration	BAO_0000357	10197	CHEMBL262	SINGLE PROTEIN	P49841	Glycogen synthase kinase-3 beta	Homo sapiens	8	Homologous protein			38628	CHEMBL1142395	18324764	J. Med. Chem.	2008	51	7	2062					
CHEMBL160743	262427	CHEMBL160743	262427		32	344.82	3.54	58.2	0	CSc1ccc(NC2=C(C(=O)NC2=O)c3cccc(Cl)c3)cc1	2154960	IC50	=	532	nM	6.27	IC50	=	532	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	466615	CHEMBL930273	B	Inhibition of recombinant GSK3-beta	1	Scientific Literature				Autocuration	BAO_0000357	10197	CHEMBL262	SINGLE PROTEIN	P49841	Glycogen synthase kinase-3 beta	Homo sapiens	8	Homologous protein			38628	CHEMBL1142395	18324764	J. Med. Chem.	2008	51	7	2062					
CHEMBL160829	263025	CHEMBL160829	263025		59	310.31	1.88	87.66	0	COc1ccc(cc1)C2=C(Nc3cccc(O)c3)C(=O)NC2=O	2154933	IC50	=	481	nM	6.32	IC50	=	481	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	466615	CHEMBL930273	B	Inhibition of recombinant GSK3-beta	1	Scientific Literature				Autocuration	BAO_0000357	10197	CHEMBL262	SINGLE PROTEIN	P49841	Glycogen synthase kinase-3 beta	Homo sapiens	8	Homologous protein			38628	CHEMBL1142395	18324764	J. Med. Chem.	2008	51	7	2062					
CHEMBL428968	429412	CHEMBL428968	429412		148	210.24	2.21	67.59	0	Nc1n[nH]c2nccc(c3ccccc3)c12	2154845	IC50	=	23000	nM	4.64	IC50	=	23000	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	466615	CHEMBL930273	B	Inhibition of recombinant GSK3-beta	1	Scientific Literature				Autocuration	BAO_0000357	10197	CHEMBL262	SINGLE PROTEIN	P49841	Glycogen synthase kinase-3 beta	Homo sapiens	8	Homologous protein			38628	CHEMBL1142395	18324764	J. Med. Chem.	2008	51	7	2062					
CHEMBL407003	429789	CHEMBL407003	429789		113	314.78	4.02	70.67	0	CCCC(=O)Nc1n[nH]c2ncc(cc12)c3ccccc3Cl	2154880	IC50	=	27	nM	7.57	IC50	=	27	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	466615	CHEMBL930273	B	Inhibition of recombinant GSK3-beta	1	Scientific Literature				Autocuration	BAO_0000357	10197	CHEMBL262	SINGLE PROTEIN	P49841	Glycogen synthase kinase-3 beta	Homo sapiens	8	Homologous protein			38628	CHEMBL1142395	18324764	J. Med. Chem.	2008	51	7	2062					
CHEMBL408732	429608	CHEMBL408732	429608		133	308.34	2.98	79.9	0	COc1ccc(cc1)c2ccc3c(NC(=O)C4CC4)n[nH]c3n2	2154860	IC50	=	23000	nM	4.64	IC50	=	23000	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	466615	CHEMBL930273	B	Inhibition of recombinant GSK3-beta	1	Scientific Literature				Autocuration	BAO_0000357	10197	CHEMBL262	SINGLE PROTEIN	P49841	Glycogen synthase kinase-3 beta	Homo sapiens	8	Homologous protein			38628	CHEMBL1142395	18324764	J. Med. Chem.	2008	51	7	2062					
CHEMBL409738	429465	CHEMBL409738	429465		81	393.5	2.38	90.04	0	CCN1CCN(CCCC(=O)Nc2n[nH]c3nnc(cc23)c4ccccc4)CC1	2154911	IC50	=	7	nM	8.15	IC50	=	7	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	466615	CHEMBL930273	B	Inhibition of recombinant GSK3-beta	1	Scientific Literature				Autocuration	BAO_0000357	10197	CHEMBL262	SINGLE PROTEIN	P49841	Glycogen synthase kinase-3 beta	Homo sapiens	8	Homologous protein			38628	CHEMBL1142395	18324764	J. Med. Chem.	2008	51	7	2062					
